Rank,Name,Team,Position,WAR,G,oWAR,dWAR,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+
1,문보경,/data/team/ci/2025/5002.svg,3B,1.62,20,1.36,0.26,89,88,75,18,28,3,0,5,46,20,0,0,12,0,2,15,2,0,2,0.373,0.449,0.613,1.062,0.231,215.6
2,박동원,/data/team/ci/2025/5002.svg,C,1.59,20,1.60,-0.01,73,73,60,15,21,3,0,5,39,16,1,0,12,1,0,14,1,0,0,0.350,0.466,0.650,1.116,0.260,242.9
3,이재현,/data/team/ci/2025/1001.svg,SS,1.24,21,1.11,0.14,92,90,71,19,18,5,0,3,32,12,1,0,17,3,1,21,0,1,0,0.254,0.418,0.451,0.869,0.187,157.0
4,박성한,/data/team/ci/2025/9002.svg,SS,1.17,17,0.85,0.32,71,70,57,8,15,5,0,1,23,10,1,0,12,1,1,14,0,1,0,0.263,0.400,0.404,0.804,0.163,137.4
5,위즈덤,/data/team/ci/2025/2002.svg,1B,1.11,20,1.15,-0.03,82,82,64,17,17,1,0,8,42,14,0,0,17,0,0,18,0,0,1,0.266,0.415,0.656,1.071,0.232,195.5
6,이주형,/data/team/ci/2025/10001.svg,CF,0.99,19,0.81,0.18,81,81,69,10,20,3,0,2,29,6,0,0,6,6,0,25,2,0,0,0.290,0.395,0.420,0.815,0.168,151.4
7,오스틴,/data/team/ci/2025/5002.svg,1B,0.99,19,0.83,0.16,82,81,69,18,20,5,0,5,40,14,1,0,12,0,2,9,3,0,1,0.290,0.390,0.580,0.970,0.196,182.4
8,양의지,/data/team/ci/2025/6002.svg,C,0.95,19,0.81,0.14,77,77,63,10,18,4,0,2,28,14,0,0,12,0,0,12,0,0,2,0.286,0.390,0.444,0.834,0.164,143.6
9,카디네스,/data/team/ci/2025/10001.svg,RF,0.95,16,1.00,-0.05,71,71,56,10,18,3,1,3,32,18,0,1,12,1,0,15,0,0,2,0.321,0.437,0.571,1.008,0.222,197.5
10,전민재,/data/team/ci/2025/3001.svg,SS,0.85,21,1.10,-0.25,72,67,62,10,26,6,0,0,32,5,1,0,4,1,0,17,1,5,0,0.419,0.463,0.516,0.979,0.221,171.9
11,나승엽,/data/team/ci/2025/3001.svg,1B,0.83,22,1.02,-0.19,93,93,75,11,20,6,1,3,37,9,0,0,16,2,0,14,2,0,0,0.267,0.409,0.493,0.902,0.195,152.6
12,손아섭,/data/team/ci/2025/11001.svg,RF,0.81,16,0.63,0.19,60,60,54,9,21,2,2,0,27,10,0,1,5,0,0,7,1,0,1,0.389,0.433,0.500,0.933,0.200,170.1
13,오지환,/data/team/ci/2025/5002.svg,SS,0.81,20,0.51,0.30,71,68,61,10,17,5,0,2,28,12,2,2,4,0,0,13,0,3,3,0.279,0.309,0.459,0.768,0.120,111.1
14,강민호,/data/team/ci/2025/1001.svg,C,0.80,20,0.83,-0.03,79,79,71,7,24,8,0,0,32,16,1,1,6,1,0,13,1,0,1,0.338,0.392,0.451,0.843,0.167,140.5
15,송성문,/data/team/ci/2025/10001.svg,2B,0.80,22,0.84,-0.04,96,96,84,16,21,6,0,4,39,10,3,0,12,0,0,11,1,0,0,0.250,0.344,0.464,0.808,0.149,130.3
16,유강남,/data/team/ci/2025/3001.svg,C,0.80,19,0.79,0.01,56,55,45,8,15,3,0,1,21,8,0,0,6,3,0,14,0,1,1,0.333,0.436,0.467,0.903,0.198,154.4
